national_inv,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
479.0,31.0,425.0,789.0,1430.0,132.0,464.0,1334.0,1768.0,121.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.0,0.0,6.0,6.0,10.0,1.0,8.0,17.0,23.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
398.0,28.0,400.0,800.0,1200.0,199.0,540.0,866.0,1297.0,182.0,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,74.0,127.0,151.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.7,0.39,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,16.0,28.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.92,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,3.0,12.0,15.0,2.0,5.0,12.0,18.0,3.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8.0,0.0,6.0,12.0,14.0,5.0,14.0,20.0,25.0,0.0,0.0,0.0,0.84,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.58,0.58,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.86,0.84,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,17.0,22.0,32.0,14.0,24.0,39.0,45.0,0.0,0.0,0.0,0.68,0.66,0.0,0.0,0.0,1.0,1.0,0.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.0,1.0,5.0,7.0,7.0,21.0,40.0,54.0,0.0,0.0,0.0,0.73,0.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,4.0,6.0,0.0,2.0,3.0,4.0,8.0,0.0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,12.0,24.0,30.0,3.0,12.0,16.0,27.0,1.0,0.0,0.0,0.94,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,4.0,8.0,20.0,28.0,1.0,10.0,22.0,39.0,3.0,0.0,0.0,0.99,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.87,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0
696.0,413.0,839.0,1469.0,2204.0,179.0,598.0,1143.0,1835.0,191.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.81,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.0,0.0,110.0,146.0,206.0,12.0,52.0,103.0,167.0,30.0,0.0,0.0,0.68,0.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-5.0,0.0,0.0,0.0,0.0,4.0,11.0,16.0,26.0,1.0,0.0,0.0,0.87,0.88,5.0,1.0,0.0,1.0,0.0,0.0,1.0
51.0,0.0,80.0,120.0,160.0,19.0,76.0,111.0,149.0,39.0,0.0,0.0,0.77,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,5.0,8.0,11.0,0.0,1.0,7.0,7.0,1.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,18.0,28.0,40.0,8.0,17.0,24.0,51.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,14.0,23.0,32.0,3.0,7.0,12.0,20.0,1.0,0.0,0.0,0.91,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-7.0,0.0,10.0,10.0,11.0,21.0,21.0,23.0,24.0,0.0,0.0,0.0,0.78,0.78,7.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.88,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.82,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.69,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.8,0.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.85,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,4.0,5.0,7.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.8,0.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0
115.0,0.0,0.0,0.0,0.0,14.0,33.0,81.0,121.0,3.0,0.0,0.0,0.73,0.78,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5.0,1.0,11.0,23.0,31.0,5.0,15.0,22.0,40.0,2.0,0.0,0.0,0.34,0.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,4.0,5.0,7.0,3.0,3.0,6.0,7.0,0.0,0.0,0.0,0.68,0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0
581.0,4.0,0.0,0.0,0.0,19.0,103.0,212.0,344.0,90.0,0.0,0.0,0.78,0.82,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.0,24.0,40.0,56.0,5.0,19.0,33.0,62.0,2.0,0.0,8.0,0.55,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3.0,0.0,1.0,3.0,5.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.85,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64.0,0.0,242.0,442.0,622.0,53.0,172.0,244.0,244.0,52.0,0.0,0.0,0.94,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3.0,0.0,3.0,6.0,8.0,5.0,9.0,14.0,15.0,0.0,0.0,0.0,0.89,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20400.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,3.0,0.0,0.0,0.98,0.96,0.0,1.0,0.0,0.0,1.0,0.0,0.0
452.0,12.0,0.0,0.0,147.0,50.0,155.0,324.0,471.0,72.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,6.0,9.0,12.0,4.0,5.0,12.0,13.0,4.0,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.94,0.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,12.0,25.0,39.0,7.0,9.0,46.0,50.0,0.0,0.0,0.0,0.99,0.98,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,25.0,25.0,50.0,8.0,18.0,33.0,50.0,2.0,0.0,0.0,0.81,0.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,40.0,60.0,80.0,3.0,15.0,22.0,22.0,2.0,0.0,0.0,0.95,0.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22.0,7.0,0.0,0.0,0.0,0.0,2.0,15.0,20.0,0.0,0.0,0.0,0.8,0.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,39.0,58.0,77.0,8.0,20.0,36.0,63.0,9.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3.0,0.0,2.0,8.0,14.0,2.0,3.0,11.0,15.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22.0,0.0,0.0,20.0,30.0,15.0,44.0,71.0,92.0,2.0,0.0,0.0,0.22,0.22,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,288.0,288.0,288.0,2.0,6.0,8.0,12.0,0.0,0.0,0.0,0.51,0.53,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,636.0,636.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,23.0,35.0,36.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.63,0.72,2.0,1.0,0.0,1.0,1.0,0.0,1.0
1361.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,3.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,6.0,10.0,12.0,3.0,11.0,15.0,21.0,2.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,3.0,6.0,9.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.78,0.74,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4.0,0.0,12.0,36.0,48.0,5.0,17.0,36.0,52.0,7.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,289.0,289.0,289.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
22.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,9.0,5.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,6.0,6.0,10.0,7.0,8.0,14.0,20.0,1.0,0.0,0.0,0.92,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.97,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,10.0,16.0,22.0,3.0,10.0,20.0,39.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4.0,0.0,5.0,10.0,15.0,6.0,10.0,16.0,20.0,2.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.8,0.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0
37.0,10.0,42.0,58.0,82.0,7.0,33.0,50.0,79.0,23.0,0.0,0.0,0.99,0.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97.0,35.0,43.0,93.0,135.0,18.0,83.0,165.0,264.0,39.0,0.0,0.0,0.76,0.72,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.69,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9.0,0.0,28.0,46.0,70.0,8.0,28.0,50.0,79.0,0.0,0.0,0.0,0.85,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0
192.0,0.0,1968.0,3252.0,3612.0,1925.0,4143.0,4268.0,4270.0,216.0,0.0,0.0,0.82,0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0
6554.0,0.0,0.0,0.0,30000.0,453.0,1597.0,3498.0,5619.0,683.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
213.0,149.0,252.0,420.0,504.0,65.0,230.0,502.0,860.0,79.0,0.0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.48,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.73,0.82,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,4.0,7.0,9.0,1.0,11.0,12.0,13.0,0.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,4.0,6.0,8.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,8.0,14.0,18.0,4.0,9.0,13.0,15.0,0.0,0.0,0.0,0.97,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.98,0.93,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,4.0,8.0,12.0,4.0,5.0,10.0,11.0,0.0,0.0,0.0,0.82,0.79,0.0,1.0,0.0,0.0,1.0,0.0,1.0
28.0,2.0,2.0,22.0,42.0,3.0,11.0,31.0,58.0,0.0,0.0,0.0,0.97,0.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.86,0.0,1.0,0.0,0.0,1.0,0.0,1.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.42,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48.0,6.0,184.0,352.0,536.0,64.0,185.0,314.0,437.0,19.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,34.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2069.0,720.0,360.0,360.0,360.0,365.0,935.0,1628.0,2456.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.76,0.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51.0,23.0,68.0,164.0,236.0,33.0,96.0,148.0,193.0,21.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.85,0.83,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6.0,0.0,24.0,24.0,28.0,6.0,8.0,26.0,38.0,0.0,0.0,0.0,0.33,0.59,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.63,0.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51.0,24.0,160.0,304.0,448.0,103.0,295.0,548.0,607.0,58.0,0.0,0.0,0.97,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.74,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-2.0,0.0,30.0,40.0,45.0,7.0,15.0,36.0,53.0,0.0,0.0,5.0,0.07,0.24,2.0,0.0,0.0,0.0,1.0,0.0,1.0
7.0,0.0,15.0,39.0,39.0,7.0,17.0,46.0,61.0,2.0,0.0,0.0,0.44,0.63,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1602.0,0.0,2916.0,4536.0,6804.0,739.0,2479.0,4869.0,8351.0,679.0,0.0,0.0,0.86,0.69,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.48,0.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,33.0,56.0,80.0,6.0,26.0,49.0,64.0,0.0,0.0,0.0,0.51,0.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.31,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,0.0,32.0,68.0,104.0,6.0,36.0,74.0,110.0,16.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,7.0,10.0,16.0,1.0,5.0,8.0,10.0,1.0,0.0,0.0,0.42,0.36,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0,0.0,18.0,30.0,42.0,11.0,26.0,48.0,73.0,0.0,0.0,0.0,0.18,0.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,108.0,216.0,324.0,42.0,95.0,137.0,183.0,0.0,0.0,0.0,0.93,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,8.0,12.0,20.0,5.0,10.0,16.0,21.0,16.0,0.0,0.0,0.87,0.93,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,6.0,9.0,12.0,7.0,15.0,20.0,24.0,0.0,0.0,0.0,0.97,0.93,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,18.0,27.0,36.0,14.0,25.0,41.0,48.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26.0,0.0,107.0,171.0,235.0,26.0,80.0,152.0,221.0,26.0,0.0,0.0,0.87,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21.0,54.0,110.0,198.0,294.0,84.0,206.0,331.0,416.0,56.0,0.0,0.0,0.69,0.68,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.81,0.83,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,1.0,48.0,48.0,48.0,22.0,48.0,48.0,48.0,3.0,0.0,0.0,0.4,0.29,0.0,1.0,0.0,0.0,1.0,0.0,1.0
10.0,12.0,0.0,0.0,0.0,1.0,4.0,9.0,12.0,0.0,0.0,0.0,0.89,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2080.0,2890.0,3475.0,5.0,766.0,766.0,767.0,656.0,0.0,0.0,0.98,0.99,6.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0
606.0,46.0,1384.0,2104.0,2680.0,361.0,1034.0,2074.0,3467.0,157.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28.0,0.0,36.0,72.0,108.0,19.0,38.0,71.0,73.0,3.0,0.0,0.0,0.91,0.89,0.0,1.0,0.0,0.0,1.0,0.0,1.0
112.0,15.0,400.0,600.0,800.0,156.0,498.0,860.0,1092.0,64.0,0.0,0.0,0.67,0.79,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-3.0,0.0,64.0,112.0,160.0,18.0,51.0,107.0,160.0,22.0,1.0,0.0,0.23,0.43,4.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,0.0,100.0,100.0,200.0,23.0,55.0,105.0,130.0,0.0,0.0,0.0,0.67,0.79,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,5.0,6.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.96,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,13.0,18.0,28.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.8,0.82,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,12.0,18.0,24.0,10.0,14.0,20.0,35.0,2.0,0.0,0.0,0.94,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
