InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-01 10:19:00,8.5,17511,United Kingdom
560203,20712,JUMBO BAG WOODLAND ANIMALS,100,2011-07-15 13:13:00,1.79,15311,United Kingdom
550280,22685,FRENCH BLUE METAL DOOR SIGN 0,1,2011-04-15 13:31:00,1.25,13048,United Kingdom
571883,21811,HANGING HEART WITH BELL,1,2011-10-19 13:58:00,0.39,14704,United Kingdom
576686,23333,IVORY WICKER HEART MEDIUM,3,2011-11-16 12:08:00,1.25,16916,United Kingdom
549933,22082,RIBBON REEL STRIPES DESIGN ,10,2011-04-13 11:04:00,1.65,15230,United Kingdom
576809,23084,RABBIT NIGHT LIGHT,6,2011-11-16 14:20:00,2.08,14851,United Kingdom
568697,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,36,2011-09-28 14:57:00,3.39,16281,United Kingdom
548451,21328,BALLOONS  WRITING SET ,8,2011-03-31 11:25:00,1.65,17365,United Kingdom
549014,21439,BASKET OF TOADSTOOLS,2,2011-04-05 15:00:00,1.25,17841,United Kingdom
562534,23338,EGG FRYING PAN RED ,10,2011-08-05 14:49:00,2.08,14031,United Kingdom
569148,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-09-30 15:52:00,3.25,16613,United Kingdom
566443,22835,HOT WATER BOTTLE I AM SO POORLY,4,2011-09-12 15:31:00,4.95,17071,United Kingdom
569255,23526,DOG LICENCE WALL ART,72,2011-10-03 11:01:00,3.88,18102,United Kingdom
552457,20728,LUNCH BAG CARS BLUE,10,2011-05-09 14:40:00,1.65,16477,United Kingdom
548869,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-04-04 14:31:00,9.95,17114,United Kingdom
567662,22075,6 RIBBONS ELEGANT CHRISTMAS ,4,2011-09-21 15:12:00,1.65,17758,United Kingdom
549099,21755,LOVE BUILDING BLOCK WORD,1,2011-04-06 11:07:00,5.95,16241,United Kingdom
578928,23570,TRADITIONAL PICK UP STICKS GAME ,2,2011-11-27 12:29:00,1.25,15443,United Kingdom
572662,85231B,CINAMMON SET OF 9 T-LIGHTS,16,2011-10-25 12:54:00,0.85,15443,United Kingdom
568060,23546,WRAP PAISLEY PARK ,25,2011-09-23 13:11:00,0.42,14546,United Kingdom
573263,21162,TOXIC AREA  DOOR HANGER ,240,2011-10-28 12:34:00,0.39,13694,United Kingdom
561900,22029,SPACEBOY BIRTHDAY CARD,12,2011-07-31 15:31:00,0.42,16655,United Kingdom
573874,46000M,POLYESTER FILLER PAD 45x45cm,1,2011-11-01 12:45:00,1.55,13868,United Kingdom
573576,85152,HAND OVER THE CHOCOLATE   SIGN ,7,2011-10-31 14:09:00,4.13,14096,United Kingdom
569943,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-10-06 18:08:00,4.25,14592,United Kingdom
565865,22303,COFFEE MUG APPLES DESIGN,6,2011-09-07 15:07:00,2.55,12637,France
574071,22423,REGENCY CAKESTAND 3 TIER,1,2011-11-02 14:57:00,12.75,12654,Germany
577300,84946,ANTIQUE SILVER T-LIGHT GLASS,6,2011-11-18 12:53:00,1.25,16924,United Kingdom
568245,21181,PLEASE ONE PERSON METAL SIGN,12,2011-09-26 12:23:00,2.1,13867,United Kingdom
566967,22941,CHRISTMAS LIGHTS 10 REINDEER,2,2011-09-15 18:05:00,8.5,16746,United Kingdom
576062,85199L,LARGE HANGING IVORY & RED WOOD BIRD,48,2011-11-13 15:30:00,0.65,12867,United Kingdom
552890,20725,LUNCH BAG RED RETROSPOT,10,2011-05-12 10:45:00,1.65,14233,United Kingdom
552731,22630,DOLLY GIRL LUNCH BOX,24,2011-05-11 10:43:00,1.95,12372,Denmark
552456,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-05-09 14:40:00,0.65,13999,United Kingdom
574544,22467,GUMBALL COAT RACK,6,2011-11-04 14:49:00,2.55,17084,United Kingdom
580632,23439,HAND WARMER RED LOVE HEART,1,2011-12-05 12:16:00,2.1,16360,United Kingdom
C538341,22976,CIRCUS PARADE CHILDRENS EGG CUP ,-12,2010-12-10 14:03:00,1.25,15514,United Kingdom
572677,20973,12 PENCIL SMALL TUBE WOODLAND,2,2011-10-25 13:46:00,0.65,17596,United Kingdom
578313,22784,LANTERN CREAM GAZEBO ,1,2011-11-23 16:24:00,4.95,17757,United Kingdom
542527,22822,CREAM WALL PLANTER HEART SHAPED,4,2011-01-28 12:48:00,5.95,17188,United Kingdom
561658,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-07-28 16:06:00,1.25,12743,Unspecified
544449,22667,RECIPE BOX RETROSPOT ,2,2011-02-20 12:14:00,2.95,16115,United Kingdom
560646,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,83,2011-07-20 11:28:00,5.88,18102,United Kingdom
540372,22905,CALENDAR IN SEASON DESIGN,12,2011-01-06 16:41:00,2.95,13081,United Kingdom
554115,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-05-22 15:03:00,2.95,15938,United Kingdom
547406,47590B,PINK HAPPY BIRTHDAY BUNTING,9,2011-03-23 08:26:00,5.45,16948,United Kingdom
540552,21313,GLASS HEART T-LIGHT HOLDER ,12,2011-01-10 09:44:00,0.85,16350,United Kingdom
536535,48194,DOORMAT HEARTS,2,2010-12-01 13:38:00,7.95,15605,United Kingdom
567200,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-09-19 10:15:00,0.55,16460,United Kingdom
581425,22952,60 CAKE CASES VINTAGE CHRISTMAS,10,2011-12-08 15:31:00,0.55,14796,United Kingdom
568531,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,1,2011-09-27 13:49:00,2.55,16713,United Kingdom
C572489,22470,HEART OF WICKER LARGE,-1,2011-10-24 13:59:00,2.95,17119,United Kingdom
579196,84970S,HANGING HEART ZINC T-LIGHT HOLDER,10,2011-11-28 15:54:00,2.08,14096,United Kingdom
554826,20728,LUNCH BAG CARS BLUE,10,2011-05-26 14:53:00,1.65,12493,France
581404,23425,STORAGE TIN HOME SWEET HOME,4,2011-12-08 13:47:00,0.79,13680,United Kingdom
550152,16015,MEDIUM CHINESE STYLE SCISSOR,10,2011-04-14 14:43:00,0.5,17362,United Kingdom
576181,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,20,2011-11-14 11:19:00,0.29,15572,United Kingdom
541880,20718,RED RETROSPOT SHOPPER BAG,20,2011-01-24 10:38:00,1.25,13819,United Kingdom
561113,22383,LUNCH BAG SUKI DESIGN ,2,2011-07-25 12:09:00,1.65,17841,United Kingdom
539498,90040A,MURANO STYLE GLASS BRACELET RED,3,2010-12-20 10:48:00,3.5,15279,United Kingdom
551532,22423,REGENCY CAKESTAND 3 TIER,1,2011-05-01 14:17:00,12.75,16554,United Kingdom
568645,22629,SPACEBOY LUNCH BOX ,24,2011-09-28 11:38:00,1.95,12656,France
554160,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-05-23 11:49:00,12.75,17841,United Kingdom
549550,22434,BALLOON PUMP WITH 10 BALLOONS,1,2011-04-10 11:45:00,1.95,15038,United Kingdom
C564903,21906,PHARMACIE FIRST AID TIN,-1,2011-08-31 12:05:00,6.75,16984,United Kingdom
560828,51014A,"FEATHER PEN,HOT PINK",24,2011-07-21 11:55:00,0.39,14298,United Kingdom
577057,82583,HOT BATHS METAL SIGN,1,2011-11-17 14:26:00,2.1,12748,United Kingdom
556965,21892,TRADITIONAL WOODEN CATCH CUP GAME ,24,2011-06-16 09:49:00,1.25,15129,United Kingdom
566443,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-09-12 15:31:00,1.25,17071,United Kingdom
553374,22380,TOY TIDY SPACEBOY  ,5,2011-05-16 14:51:00,2.1,14489,United Kingdom
537200,47369A,PINK GREEN EMBROIDERY COSMETIC BAG,1,2010-12-05 14:17:00,2.95,15867,United Kingdom
579125,22208,WOOD STAMP SET THANK YOU,12,2011-11-28 12:19:00,0.83,14215,United Kingdom
571265,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,2011-10-16 11:31:00,1.65,16674,United Kingdom
560422,23203,JUMBO BAG DOILEY PATTERNS,10,2011-07-18 15:14:00,2.08,16746,United Kingdom
539018,22348,TEA BAG PLATE RED RETROSPOT,12,2010-12-15 14:00:00,0.85,16134,United Kingdom
554789,22489,PACK OF 12 TRADITIONAL CRAYONS,144,2011-05-26 12:07:00,0.42,16966,United Kingdom
563584,22457,NATURAL SLATE HEART CHALKBOARD ,12,2011-08-17 16:48:00,2.95,15122,United Kingdom
